#ID,¿Cuánto tiempo pasas a la semana en el CUGDL?,¿Con qué frecuencia consumes alimentos dentro del CUGDL a la semana?,¿Cuánto tiempo tienes para consumir tus alimentos cuando tienes clases?,¿Dónde adquieres los alimentos que consumes en la universidad?,¿Consideras que los alimentos de la cafetería son saludables?,¿Consideras que los alimentos de la cafetería son accesibles?,¿Consideras necesario que se cree un espacio tipo comedor dentro del plantel?,¿Consideras que los alimentos que consumes en tu día a día son saludables?,¿Sabes cocinar o preparar alimentos saludables?,¿Estarias interesado en participar en un taller donde enseñen a preparar alimentos saludables?,¿Alguna opinion o sugerencia sobre lo que se plantea en este cuestionario?
1,20 a 25 horas,Algunas veces,15 - 20 minutos,"Cafeteria, Vendedores dentro de la universidad",Algunas cosas,Algunas cosas,Si,No,No,Si,
2,20 a 25 horas,Algunas veces,Menos de 15 minutos,"Cafeteria, Vendedores dentro de la universidad, Lo traes desde casa",Algunas cosas,Algunas cosas,Si,No,Solo algunas cosas,Si,
3,20 a 25 horas,Algunas veces,15 - 20 minutos,"Cafeteria, Vendedores dentro de la universidad, Negocios alrededor de la universidad, Lo traes desde casa",Algunas cosas,Algunas cosas,Si,No,Solo algunas cosas,Si,
4,20 a 25 horas,Siempre,Menos de 15 minutos,"Cafeteria, Vendedores dentro de la universidad, Lo traes desde casa",Algunas cosas,Si,Si,No,Si,Si,
5,20 a 25 horas,Algunas veces,Menos de 15 minutos,"Cafeteria, Lo traes desde casa",Algunas cosas,Algunas cosas,Si,No,Solo algunas cosas,Si,"Se podría decir que ya hay un comedor en la uni (el área de la cafetería con las mesas y así) pero me parece interesante que quieran promover la alimentación saludable, creo que los universitarios somos los que más lo necesitamos AJAJAKSJKS"
6,20 a 25 horas,Algunas veces,Menos de 15 minutos,Lo traes desde casa,Algunas cosas,Algunas cosas,Tal vez,Sí,Si,Si,"El cuestionario está muy bien hecho, se ve bastante profesional. Respecto a 2 preguntas no supe cómo contestarlas debido a que nunca me he acercado en la cafetería. La idea del taller me parece interesante y me integraría si existiera uno"
7,Más de 25 horas,Algunas veces,15 - 20 minutos,"Cafeteria, Vendedores dentro de la universidad",Algunas cosas,No,Si,No,No,Si,
8,Menos de 20 horas,Rara vez,Menos de 15 minutos,Cafeteria,Algunas cosas,Algunas cosas,Si,Tal vez,Solo algunas cosas,Si,
9,Menos de 20 horas,Rara vez,De 20 minutos a 30 minutos,"Cafeteria, Vendedores dentro de la universidad, Lo traes desde casa",Algunas cosas,Algunas cosas,Tal vez,Tal vez,Solo algunas cosas,Si,
10,Menos de 20 horas,Rara vez,15 - 20 minutos,Lo traes desde casa,Algunas cosas,No,Tal vez,Tal vez,Solo algunas cosas,Si,
